year,revenue_mil,total_debt_mil,debt_to_revenue_ratio,bryce_era
1987,84.0,30.0,0.357,0
1988,101.6,38.0,0.374,0
1989,119.2,50.0,0.419,0
1990,136.8,65.0,0.475,0
1991,154.4,85.0,0.551,0
1992,172.0,105.0,0.61,0
1993,242.0,125.0,0.517,0
1994,282.8,155.0,0.548,0
1995,323.7,185.0,0.572,0
1996,364.5,215.0,0.59,0
1997,405.3,260.0,0.642,0
1998,446.2,311.9,0.699,0
1999,487.0,650.0,1.335,0
2000,418.8,680.0,1.624,0
2001,461.4,620.0,1.344,0
2002,504.0,480.0,0.952,0
2003,499.2,465.4,0.932,0
2004,494.5,450.8,0.912,0
2005,490.4,436.1,0.889,0
2006,486.2,421.5,0.867,0
2007,482.1,406.9,0.844,0
2008,472.7,392.3,0.83,1
2009,514.7,369.1,0.717,1
2010,491.3,353.4,0.719,1
2011,477.8,315.4,0.66,1
2012,539.3,366.2,0.679,1
2013,533.9,311.4,0.583,1
2014,689.9,352.0,0.51,0
2015,804.4,337.0,0.419,0
