year,screen_count,theater_count,employment_period,company_era
1982,265,105,Outside Employment,1. Growth Era
1983,350,130,Outside Employment,1. Growth Era
1984,414,,Outside Employment,1. Growth Era
1985,478,,Outside Employment,1. Growth Era
1986,542,,Outside Employment,1. Growth Era
1987,606,,Outside Employment,1. Growth Era
1988,670,216,Outside Employment,1. Growth Era
1989,835,,Outside Employment,1. Growth Era
1990,1000,175,Outside Employment,1. Growth Era
1991,1200,,Outside Employment,1. Growth Era
1992,1400,,Outside Employment,1. Growth Era
1993,1560,388,Outside Employment,1. Growth Era
1994,1891,,Outside Employment,1. Growth Era
1995,2223,,Outside Employment,1. Growth Era
1996,2338,,Outside Employment,1. Growth Era
1997,2453,,Outside Employment,1. Growth Era
1998,2658,468,Outside Employment,1. Growth Era
1999,2684,,Outside Employment,1. Growth Era
2000,2800,448,Outside Employment,2. Bankruptcy / Restructure
2001,2525,,Outside Employment,2. Bankruptcy / Restructure
2002,2250,308,Outside Employment,2. Bankruptcy / Restructure
2003,2350,,Outside Employment,3. Recovery
2004,2450,310,Outside Employment,3. Recovery
2005,2433,,Outside Employment,3. Recovery
2006,2416,,Outside Employment,3. Recovery
2007,2400,264,Outside Employment,3. Recovery
2008,2308,250,Bryce Employment,4. Passman Era
2009,2278,245,Bryce Employment,4. Passman Era
2010,2374,,Bryce Employment,4. Passman Era
2011,2471,,Bryce Employment,4. Passman Era
2012,2567,,Bryce Employment,4. Passman Era
2013,2664,,Bryce Employment,4. Passman Era
2014,2760,,Outside Employment,5. Acquisition Era
2015,2857,,Outside Employment,5. Acquisition Era
2016,2954,276,Outside Employment,5. Acquisition Era
