year,revenue_mil,net_income_mil,total_debt_mil,screen_count,theater_count,employment_period,company_era,data_quality
1987,84.0,3.0,30.0,606,,Other,1. Growth Era,estimated
1988,101.6,,38.0,670,216,Other,1. Growth Era,estimated
1989,119.2,,50.0,835,,Other,1. Growth Era,estimated
1990,136.8,,65.0,1000,175,Other,1. Growth Era,estimated
1991,154.4,,85.0,1200,,Other,1. Growth Era,estimated
1992,172.0,,105.0,1400,,Other,1. Growth Era,estimated
1993,242.0,,125.0,1560,388,Other,1. Growth Era,estimated
1994,282.8,,155.0,1891,,Other,1. Growth Era,estimated
1995,323.7,,185.0,2223,,Other,1. Growth Era,estimated
1996,364.5,,215.0,2338,,Other,1. Growth Era,estimated
1997,405.3,,260.0,2453,,Other,1. Growth Era,estimated
1998,446.2,,311.9,2658,468,Other,1. Growth Era,confirmed
1999,487.0,,650.0,2684,,Other,1. Growth Era,confirmed
2000,418.8,,680.0,2800,448,Other,2. Bankruptcy / Restructure,estimated
2001,461.4,,620.0,2525,,Other,2. Bankruptcy / Restructure,estimated
2002,504.0,,480.0,2250,308,Other,2. Bankruptcy / Restructure,derived
2003,499.2,,465.4,2350,,Other,3. Recovery,estimated
2004,494.5,,450.8,2450,310,Other,3. Recovery,confirmed
2005,490.4,,436.1,2433,,Other,3. Recovery,estimated
2006,486.2,,421.5,2416,,Other,3. Recovery,estimated
2007,482.1,-126.9,406.9,2400,264,Other,3. Recovery,confirmed
2008,472.7,-41.4,392.3,2308,250,Bryce Employment,4. Passman Era,confirmed
2009,514.7,-15.4,369.1,2278,245,Bryce Employment,4. Passman Era,confirmed
2010,491.3,,353.4,2374,,Bryce Employment,4. Passman Era,confirmed
2011,477.8,-7.7,315.4,2471,,Bryce Employment,4. Passman Era,confirmed
2012,539.3,96.3,366.2,2567,,Bryce Employment,4. Passman Era,confirmed
2013,533.9,,311.4,2664,,Bryce Employment,4. Passman Era,confirmed
2014,689.9,,352.0,2760,,Other,5. Acquisition Era,confirmed
2015,804.4,,337.0,2857,,Other,5. Acquisition Era,confirmed
